keywords,bid,views,clicks,conversions,total costs
vintage notebook,17,2937,191.0,12.0,3247.0
recycled paper notebook,24,2017,265.0,21.0,6360.0
travelers notebook,19,4153,570.0,42.0,10830.0
academic planner notebook,26,2080,176.0,16.0,4576.0
dotted grid notebook,21,4590,335.0,48.0,7035.0
vintage notebook,17,1111,72.0,4.0,1224.0
dotted grid notebook,21,1047,76.0,11.0,1596.0
academic planner notebook,26,4663,395.0,35.0,10270.0
large notebook,15,2910,279.0,20.0,4185.0
large notebook,15,1375,132.0,9.0,1980.0
kids notebook,14,1827,229.0,12.0,3206.0
engineering notebook,21,3080,353.0,21.0,7413.0
plain paper,12,3551,389.0,44.0,4668.0
large notebook,15,1626,156.0,11.0,2340.0
hardcover notebook,19,2919,306.0,41.0,5814.0
graph paper notebook,21,2026,210.0,25.0,4410.0
academic planner notebook,26,4557,386.0,34.0,10036.0
kids notebook,14,4587,574.0,29.0,8036.0
engineering notebook,21,2891,331.0,19.0,6951.0
college ruled notebook,23,4843,714.0,54.0,16422.0
kids notebook,14,3089,387.0,20.0,5418.0
plain paper,12,3056,335.0,38.0,4020.0
hardcover notebook,19,4047,424.0,57.0,8056.0
waterproof notebook,20,1818,338.0,27.0,6760.0
college ruled notebook,23,1656,244.0,18.0,5612.0
travelers notebook,19,4984,684.0,51.0,12996.0
hardcover notebook,19,4680,490.0,66.0,9310.0
graph paper notebook,21,2811,291.0,35.0,6111.0
engineering notebook,21,4213,483.0,28.0,10143.0
dotted grid notebook,21,1789,131.0,19.0,2751.0
leather cover notebook,23,2459,153.0,15.0,3519.0
engineering notebook,21,4098,470.0,28.0,9870.0
plain paper,12,4114,451.0,51.0,5412.0
graph paper notebook,21,2154,223.0,27.0,4683.0
art sketchbook,15,4287,418.0,30.0,6270.0
college ruled notebook,23,2629,388.0,29.0,8924.0
dotted grid notebook,21,2543,186.0,27.0,3906.0
graph paper notebook,21,3645,377.0,45.0,7917.0
waterproof notebook,20,4416,820.0,67.0,16400.0
academic planner notebook,26,4579,388.0,34.0,10088.0
travelers notebook,19,2673,367.0,27.0,6973.0
personalized notebook,22,2904,469.0,59.0,10318.0
college ruled notebook,23,2436,359.0,27.0,8257.0
college ruled notebook,23,1935,285.0,21.0,6555.0
college ruled notebook,23,4317,637.0,48.0,14651.0
academic planner notebook,26,4520,383.0,34.0,9958.0
waterproof notebook,20,4059,754.0,61.0,15080.0
art sketchbook,15,1020,99.0,7.0,1485.0
personalized notebook,22,1998,322.0,41.0,7084.0
spiral bound notebook,22,2431,421.0,24.0,9262.0
recycled paper notebook,24,1456,191.0,15.0,4584.0
notebook with pockets,22,2467,481.0,34.0,10582.0
spiral bound notebook,22,3027,524.0,30.0,11528.0
personalized notebook,22,4061,655.0,83.0,14410.0
academic planner notebook,26,4993,423.0,38.0,10998.0
spiral bound notebook,22,1264,219.0,13.0,4818.0
recycled paper notebook,24,4731,621.0,48.0,14904.0
large notebook,15,3231,310.0,22.0,4650.0
hardcover notebook,19,3274,343.0,46.0,6517.0
plain paper,12,4875,534.0,60.0,6408.0
notebook with pockets,22,4619,900.0,63.0,19800.0
graph paper notebook,21,4317,447.0,53.0,9387.0
notebook with pen holder,25,3046,292.0,40.0,7300.0
large notebook,15,4144,397.0,28.0,5955.0
art sketchbook,15,4221,411.0,29.0,6165.0
kids notebook,14,4584,574.0,29.0,8036.0
softcover notebook,19,4140,343.0,37.0,6517.0
vintage notebook,17,1968,128.0,8.0,2176.0
large notebook,15,1804,173.0,12.0,2595.0
spiral bound notebook,22,2253,390.0,23.0,8580.0
dotted grid notebook,21,1722,126.0,18.0,2646.0
leather cover notebook,23,2095,130.0,13.0,2990.0
college ruled notebook,23,2001,295.0,22.0,6785.0
hardcover notebook,19,3922,411.0,55.0,7809.0
notebook with pen holder,25,4679,449.0,62.0,11225.0
graph paper notebook,21,4468,462.0,55.0,9702.0
art sketchbook,15,1083,106.0,8.0,1590.0
college ruled notebook,23,1739,257.0,19.0,5911.0
hardcover notebook,19,4370,458.0,62.0,8702.0
vintage notebook,17,4819,313.0,19.0,5321.0
recycled paper notebook,24,4364,573.0,45.0,13752.0
graph paper notebook,21,2757,285.0,34.0,5985.0
waterproof notebook,20,2993,556.0,45.0,11120.0
notebook with pockets,22,1222,238.0,17.0,5236.0
dotted grid notebook,21,3840,280.0,40.0,5880.0
college ruled notebook,23,3780,558.0,42.0,12834.0
leather cover notebook,23,4287,266.0,26.0,6118.0
vintage notebook,17,4302,279.0,17.0,4743.0
college ruled notebook,23,3452,509.0,38.0,11707.0
engineering notebook,21,2192,251.0,15.0,5271.0
vintage notebook,17,1328,86.0,5.0,1462.0
plain paper,12,1425,156.0,18.0,1872.0
softcover notebook,19,2577,214.0,23.0,4066.0
academic planner notebook,26,1769,150.0,13.0,3900.0
notebook with pen holder,25,2219,213.0,29.0,5325.0
graph paper notebook,21,4975,515.0,62.0,10815.0
graph paper notebook,21,1607,166.0,20.0,3486.0
dotted grid notebook,21,2852,208.0,30.0,4368.0
spiral bound notebook,22,3573,619.0,36.0,13618.0
travelers notebook,19,3672,504.0,37.0,9576.0
leather cover notebook,23,3124,194.0,19.0,4462.0
notebook with pockets,22,3046,594.0,42.0,13068.0
engineering notebook,21,2300,264.0,15.0,5544.0
vintage notebook,17,1919,125.0,8.0,2125.0
hardcover notebook,19,3993,418.0,56.0,7942.0
hardcover notebook,19,1465,154.0,21.0,2926.0
waterproof notebook,20,2964,550.0,45.0,11000.0
academic planner notebook,26,2471,209.0,19.0,5434.0
travelers notebook,19,4391,603.0,45.0,11457.0
academic planner notebook,26,2945,250.0,22.0,6500.0
dotted grid notebook,21,2183,159.0,23.0,3339.0
recycled paper notebook,24,3539,465.0,36.0,11160.0
spiral bound notebook,22,3360,582.0,34.0,12804.0
notebook with pockets,22,2654,517.0,36.0,11374.0
waterproof notebook,20,3039,564.0,46.0,11280.0
art sketchbook,15,2184,213.0,15.0,3195.0
travelers notebook,19,3355,461.0,34.0,8759.0
softcover notebook,19,4934,409.0,44.0,7771.0
kids notebook,14,4217,528.0,27.0,7392.0
vintage notebook,17,2698,175.0,11.0,2975.0
recycled paper notebook,24,4467,586.0,46.0,14064.0
dotted grid notebook,21,3738,273.0,39.0,5733.0
large notebook,15,3136,301.0,22.0,4515.0
waterproof notebook,20,3782,702.0,57.0,14040.0
hardcover notebook,19,1777,186.0,25.0,3534.0
plain paper,12,3798,416.0,47.0,4992.0
waterproof notebook,20,4379,813.0,66.0,16260.0
softcover notebook,19,4617,383.0,41.0,7277.0
vintage notebook,17,3418,222.0,14.0,3774.0
spiral bound notebook,22,3498,606.0,35.0,13332.0
art sketchbook,15,1166,114.0,8.0,1710.0
leather cover notebook,23,3439,214.0,21.0,4922.0
graph paper notebook,21,4708,487.0,58.0,10227.0
vintage notebook,17,1735,113.0,7.0,1921.0
hardcover notebook,19,3538,371.0,50.0,7049.0
kids notebook,14,1924,241.0,12.0,3374.0
spiral bound notebook,22,2173,376.0,22.0,8272.0
kids notebook,14,2491,312.0,16.0,4368.0
travelers notebook,19,2989,410.0,30.0,7790.0
art sketchbook,15,4772,465.0,33.0,6975.0
waterproof notebook,20,2066,384.0,31.0,7680.0
travelers notebook,19,1944,267.0,20.0,5073.0
recycled paper notebook,24,1028,135.0,10.0,3240.0
notebook with pockets,22,2897,565.0,39.0,12430.0
spiral bound notebook,22,2655,460.0,27.0,10120.0
hardcover notebook,19,2872,301.0,40.0,5719.0
softcover notebook,19,2054,170.0,18.0,3230.0
academic planner notebook,26,3740,317.0,28.0,8242.0
dotted grid notebook,21,2697,197.0,28.0,4137.0
travelers notebook,19,3175,436.0,32.0,8284.0
travelers notebook,19,3814,524.0,39.0,9956.0
graph paper notebook,21,4365,452.0,54.0,9492.0
kids notebook,14,3488,436.0,22.0,6104.0
graph paper notebook,21,3916,405.0,48.0,8505.0
academic planner notebook,26,2411,204.0,18.0,5304.0
leather cover notebook,23,2789,173.0,17.0,3979.0
hardcover notebook,19,2665,279.0,38.0,5301.0
art sketchbook,15,1523,148.0,11.0,2220.0
engineering notebook,21,2570,295.0,17.0,6195.0
waterproof notebook,20,2733,507.0,41.0,10140.0
hardcover notebook,19,1759,184.0,25.0,3496.0
leather cover notebook,23,3157,196.0,19.0,4508.0
spiral bound notebook,22,2351,407.0,24.0,8954.0
plain paper,12,4476,490.0,55.0,5880.0
vintage notebook,17,2268,147.0,9.0,2499.0
recycled paper notebook,24,2785,366.0,28.0,8784.0
softcover notebook,19,4949,411.0,44.0,7809.0
recycled paper notebook,24,2852,374.0,29.0,8976.0
art sketchbook,15,3210,313.0,22.0,4695.0
notebook with pockets,22,3607,703.0,49.0,15466.0
academic planner notebook,26,1398,118.0,10.0,3068.0
kids notebook,14,3630,454.0,23.0,6356.0
kids notebook,14,3446,431.0,22.0,6034.0
hardcover notebook,19,4564,478.0,64.0,9082.0
kids notebook,14,2669,334.0,17.0,4676.0
graph paper notebook,21,1238,128.0,15.0,2688.0
academic planner notebook,26,4536,384.0,34.0,9984.0
kids notebook,14,2603,326.0,16.0,4564.0
leather cover notebook,23,4861,302.0,30.0,6946.0
dotted grid notebook,21,4103,299.0,43.0,6279.0
notebook with pockets,22,2146,418.0,29.0,9196.0
softcover notebook,19,2557,212.0,23.0,4028.0
notebook with pen holder,25,4738,455.0,62.0,11375.0
notebook with pockets,22,3157,615.0,43.0,13530.0
hardcover notebook,19,2294,240.0,32.0,4560.0
kids notebook,14,4451,557.0,28.0,7798.0
personalized notebook,22,1299,210.0,26.0,4620.0
leather cover notebook,23,4698,292.0,29.0,6716.0
graph paper notebook,21,4803,497.0,59.0,10437.0
kids notebook,14,4049,507.0,26.0,7098.0
kids notebook,14,2765,346.0,18.0,4844.0
recycled paper notebook,24,1763,231.0,18.0,5544.0
recycled paper notebook,24,1248,164.0,13.0,3936.0
large notebook,15,3568,342.0,25.0,5130.0
notebook with pockets,22,1033,201.0,14.0,4422.0
college ruled notebook,23,1227,181.0,14.0,4163.0
travelers notebook,19,1584,217.0,16.0,4123.0
art sketchbook,15,4470,436.0,31.0,6540.0
plain paper,12,4005,439.0,50.0,5268.0
dotted grid notebook,21,3860,282.0,41.0,5922.0
notebook with pockets,22,1723,336.0,23.0,7392.0
waterproof notebook,20,3631,674.0,55.0,13480.0
spiral bound notebook,22,1569,272.0,16.0,5984.0
notebook with pockets,22,1219,238.0,17.0,5236.0
notebook with pockets,22,2394,467.0,33.0,10274.0
personalized notebook,22,3834,619.0,78.0,13618.0
engineering notebook,21,4832,554.0,32.0,11634.0
art sketchbook,15,3575,348.0,25.0,5220.0
large notebook,15,3122,299.0,21.0,4485.0
travelers notebook,19,2641,363.0,27.0,6897.0
art sketchbook,15,1135,111.0,8.0,1665.0
spiral bound notebook,22,3121,541.0,31.0,11902.0
notebook with pockets,22,1253,244.0,17.0,5368.0
art sketchbook,15,4089,399.0,28.0,5985.0
leather cover notebook,23,2954,184.0,18.0,4232.0
waterproof notebook,20,4069,755.0,61.0,15100.0
recycled paper notebook,24,4114,540.0,42.0,12960.0
hardcover notebook,19,1049,110.0,15.0,2090.0
kids notebook,14,1514,189.0,10.0,2646.0
softcover notebook,19,3791,315.0,34.0,5985.0
travelers notebook,19,3778,519.0,38.0,9861.0
engineering notebook,21,3618,415.0,24.0,8715.0
graph paper notebook,21,4867,504.0,60.0,10584.0
softcover notebook,19,2837,235.0,25.0,4465.0
plain paper,12,1575,173.0,20.0,2076.0
kids notebook,14,4653,582.0,29.0,8148.0
dotted grid notebook,21,4374,319.0,46.0,6699.0
personalized notebook,22,2165,349.0,44.0,7678.0
notebook with pockets,22,1902,371.0,26.0,8162.0
hardcover notebook,19,3249,341.0,46.0,6479.0
college ruled notebook,23,3254,480.0,36.0,11040.0
recycled paper notebook,24,1414,186.0,14.0,4464.0
personalized notebook,22,3268,527.0,66.0,11594.0
waterproof notebook,20,4433,823.0,67.0,16460.0
dotted grid notebook,21,3805,278.0,40.0,5838.0
academic planner notebook,26,2104,178.0,16.0,4628.0
large notebook,15,1762,169.0,12.0,2535.0
waterproof notebook,20,1562,290.0,24.0,5800.0
recycled paper notebook,24,4356,572.0,44.0,13728.0
softcover notebook,19,3416,283.0,30.0,5377.0
vintage notebook,17,2515,163.0,10.0,2771.0
spiral bound notebook,22,2934,508.0,29.0,11176.0
engineering notebook,21,3943,452.0,26.0,9492.0
travelers notebook,19,2369,325.0,24.0,6175.0
softcover notebook,19,1203,100.0,11.0,1900.0
engineering notebook,21,4096,470.0,28.0,9870.0
spiral bound notebook,22,4004,694.0,40.0,15268.0
notebook with pockets,22,2576,502.0,35.0,11044.0
academic planner notebook,26,1068,91.0,8.0,2366.0
travelers notebook,19,1515,208.0,15.0,3952.0
large notebook,15,4563,437.0,31.0,6555.0
dotted grid notebook,21,3287,240.0,35.0,5040.0
graph paper notebook,21,1360,141.0,17.0,2961.0
travelers notebook,19,2464,338.0,25.0,6422.0
softcover notebook,19,2054,170.0,18.0,3230.0
college ruled notebook,23,2922,431.0,32.0,9913.0
leather cover notebook,23,2652,165.0,16.0,3795.0
waterproof notebook,20,1706,317.0,26.0,6340.0
notebook with pockets,22,2625,512.0,36.0,11264.0
large notebook,15,3737,358.0,26.0,5370.0
spiral bound notebook,22,1656,287.0,17.0,6314.0
softcover notebook,19,4785,397.0,42.0,7543.0
softcover notebook,19,2345,195.0,21.0,3705.0
spiral bound notebook,22,1343,233.0,13.0,5126.0
college ruled notebook,23,4786,706.0,53.0,16238.0
notebook with pockets,22,1535,299.0,21.0,6578.0
academic planner notebook,26,1354,115.0,10.0,2990.0
kids notebook,14,4542,568.0,29.0,7952.0
personalized notebook,22,1927,311.0,39.0,6842.0
spiral bound notebook,22,1982,343.0,20.0,7546.0
travelers notebook,19,3017,414.0,31.0,7866.0
leather cover notebook,23,3152,196.0,19.0,4508.0
plain paper,12,4858,532.0,60.0,6384.0
notebook with pockets,22,2345,457.0,32.0,10054.0
notebook with pen holder,25,2595,249.0,34.0,6225.0
graph paper notebook,21,2906,301.0,36.0,6321.0
dotted grid notebook,21,4009,293.0,42.0,6153.0
academic planner notebook,26,1526,129.0,11.0,3354.0
travelers notebook,19,3551,487.0,36.0,9253.0
softcover notebook,19,4156,345.0,37.0,6555.0
softcover notebook,19,1930,160.0,17.0,3040.0
plain paper,12,3756,411.0,47.0,4932.0
recycled paper notebook,24,3282,431.0,34.0,10344.0
personalized notebook,22,2946,475.0,60.0,10450.0
notebook with pen holder,25,4927,473.0,65.0,11825.0
travelers notebook,19,2286,314.0,23.0,5966.0
recycled paper notebook,24,4077,535.0,42.0,12840.0
academic planner notebook,26,3541,300.0,27.0,7800.0
notebook with pockets,22,2916,568.0,40.0,12496.0
vintage notebook,17,4360,283.0,18.0,4811.0
large notebook,15,2593,249.0,18.0,3735.0
engineering notebook,21,4728,542.0,32.0,11382.0
academic planner notebook,26,3925,333.0,30.0,8658.0
college ruled notebook,23,4625,682.0,51.0,15686.0
vintage notebook,17,2373,154.0,10.0,2618.0
dotted grid notebook,21,2223,162.0,23.0,3402.0
college ruled notebook,23,2959,436.0,33.0,10028.0
academic planner notebook,26,4757,403.0,36.0,10478.0
notebook with pen holder,25,4014,385.0,53.0,9625.0
art sketchbook,15,1965,192.0,14.0,2880.0
plain paper,12,1963,215.0,24.0,2580.0
art sketchbook,15,1896,185.0,13.0,2775.0
art sketchbook,15,2358,230.0,16.0,3450.0
travelers notebook,19,4678,642.0,47.0,12198.0
kids notebook,14,1216,152.0,8.0,2128.0
waterproof notebook,20,1622,301.0,24.0,6020.0
softcover notebook,19,1352,112.0,12.0,2128.0
travelers notebook,19,1691,232.0,17.0,4408.0
kids notebook,14,3722,466.0,24.0,6524.0
vintage notebook,17,1630,106.0,7.0,1802.0
softcover notebook,19,3372,280.0,30.0,5320.0
waterproof notebook,20,3948,733.0,59.0,14660.0
hardcover notebook,19,4299,451.0,61.0,8569.0
waterproof notebook,20,2168,402.0,33.0,8040.0
travelers notebook,19,3355,461.0,34.0,8759.0
softcover notebook,19,1653,137.0,15.0,2603.0
college ruled notebook,23,4705,694.0,52.0,15962.0
notebook with pockets,22,3332,650.0,45.0,14300.0
graph paper notebook,21,1391,144.0,17.0,3024.0
travelers notebook,19,4809,660.0,49.0,12540.0
notebook with pockets,22,3407,664.0,46.0,14608.0
dotted grid notebook,21,1768,129.0,19.0,2709.0
art sketchbook,15,1796,175.0,12.0,2625.0
notebook with pockets,22,1931,376.0,26.0,8272.0
personalized notebook,22,2970,479.0,60.0,10538.0
leather cover notebook,23,1164,72.0,7.0,1656.0
travelers notebook,19,1732,238.0,18.0,4522.0
spiral bound notebook,22,1580,274.0,16.0,6028.0
spiral bound notebook,22,1820,315.0,18.0,6930.0
large notebook,15,2247,215.0,15.0,3225.0
notebook with pockets,22,1123,219.0,15.0,4818.0
vintage notebook,17,2971,193.0,12.0,3281.0
spiral bound notebook,22,1343,233.0,13.0,5126.0
academic planner notebook,26,2874,244.0,22.0,6344.0
personalized notebook,22,1523,246.0,31.0,5412.0
kids notebook,14,4123,516.0,26.0,7224.0
college ruled notebook,23,1128,166.0,12.0,3818.0
engineering notebook,21,2158,247.0,14.0,5187.0
art sketchbook,15,3704,361.0,26.0,5415.0
travelers notebook,19,4198,576.0,43.0,10944.0
engineering notebook,21,3785,434.0,25.0,9114.0
large notebook,15,3986,382.0,27.0,5730.0
notebook with pockets,22,3118,608.0,43.0,13376.0
personalized notebook,22,3320,536.0,68.0,11792.0
recycled paper notebook,24,2210,290.0,23.0,6960.0
notebook with pen holder,25,2026,194.0,27.0,4850.0
hardcover notebook,19,2308,242.0,33.0,4598.0
leather cover notebook,23,1021,63.0,6.0,1449.0
spiral bound notebook,22,1165,202.0,12.0,4444.0
engineering notebook,21,2333,267.0,16.0,5607.0
college ruled notebook,23,3922,579.0,43.0,13317.0
spiral bound notebook,22,2500,433.0,25.0,9526.0
hardcover notebook,19,1497,157.0,21.0,2983.0
notebook with pockets,22,1433,279.0,20.0,6138.0
personalized notebook,22,3805,614.0,77.0,13508.0
large notebook,15,3281,315.0,23.0,4725.0
recycled paper notebook,24,1836,241.0,19.0,5784.0
hardcover notebook,19,2693,282.0,38.0,5358.0
recycled paper notebook,24,1662,218.0,17.0,5232.0
art sketchbook,15,1724,168.0,12.0,2520.0
kids notebook,14,1375,172.0,9.0,2408.0
large notebook,15,3777,362.0,26.0,5430.0
personalized notebook,22,4317,697.0,88.0,15334.0
kids notebook,14,1302,163.0,8.0,2282.0
large notebook,15,3452,331.0,24.0,4965.0
large notebook,15,4859,466.0,33.0,6990.0
leather cover notebook,23,2686,167.0,16.0,3841.0
college ruled notebook,23,1707,252.0,19.0,5796.0
kids notebook,14,1916,240.0,12.0,3360.0
spiral bound notebook,22,3068,531.0,31.0,11682.0
spiral bound notebook,22,1256,218.0,13.0,4796.0
notebook with pockets,22,1398,273.0,19.0,6006.0
waterproof notebook,20,4600,854.0,69.0,17080.0
art sketchbook,15,1050,102.0,7.0,1530.0
kids notebook,14,3494,437.0,22.0,6118.0
softcover notebook,19,4341,360.0,39.0,6840.0
large notebook,15,3874,371.0,27.0,5565.0
dotted grid notebook,21,1594,116.0,17.0,2436.0
spiral bound notebook,22,1817,315.0,18.0,6930.0
leather cover notebook,23,1635,102.0,10.0,2346.0
travelers notebook,19,4873,669.0,49.0,12711.0
dotted grid notebook,21,4333,316.0,46.0,6636.0
large notebook,15,4436,425.0,30.0,6375.0
graph paper notebook,21,2072,214.0,26.0,4494.0
travelers notebook,19,4589,630.0,47.0,11970.0
dotted grid notebook,21,2652,194.0,28.0,4074.0
hardcover notebook,19,2141,224.0,30.0,4256.0
large notebook,15,2476,237.0,17.0,3555.0
kids notebook,14,1774,222.0,11.0,3108.0
engineering notebook,21,4936,566.0,33.0,11886.0
college ruled notebook,23,4020,593.0,45.0,13639.0
waterproof notebook,20,2970,551.0,45.0,11020.0
notebook with pockets,22,4957,966.0,68.0,21252.0
waterproof notebook,20,2664,495.0,40.0,9900.0
notebook with pockets,22,1396,272.0,19.0,5984.0
waterproof notebook,20,3730,692.0,56.0,13840.0
personalized notebook,22,4098,661.0,83.0,14542.0
softcover notebook,19,3758,312.0,33.0,5928.0
kids notebook,14,2395,300.0,15.0,4200.0
academic planner notebook,26,4970,421.0,37.0,10946.0
graph paper notebook,21,4897,507.0,61.0,10647.0
notebook with pockets,22,4928,961.0,67.0,21142.0
personalized notebook,22,2120,342.0,43.0,7524.0
college ruled notebook,23,1528,225.0,17.0,5175.0
graph paper notebook,21,1684,174.0,21.0,3654.0
vintage notebook,17,3660,238.0,15.0,4046.0
kids notebook,14,3233,405.0,20.0,5670.0
kids notebook,14,3743,468.0,24.0,6552.0
leather cover notebook,23,3262,203.0,20.0,4669.0
graph paper notebook,21,4322,447.0,53.0,9387.0
softcover notebook,19,3263,271.0,29.0,5149.0
softcover notebook,19,3076,255.0,27.0,4845.0
waterproof notebook,20,1101,204.0,17.0,4080.0
kids notebook,14,1122,140.0,7.0,1960.0
academic planner notebook,26,3101,263.0,23.0,6838.0
engineering notebook,21,2306,264.0,15.0,5544.0
recycled paper notebook,24,2637,346.0,27.0,8304.0
recycled paper notebook,24,2140,281.0,22.0,6744.0
dotted grid notebook,21,1615,118.0,17.0,2478.0
academic planner notebook,26,1556,132.0,12.0,3432.0
large notebook,15,1113,107.0,8.0,1605.0
art sketchbook,15,3902,380.0,27.0,5700.0
engineering notebook,21,2566,294.0,17.0,6174.0
plain paper,12,3723,408.0,46.0,4896.0
notebook with pockets,22,1976,385.0,27.0,8470.0
college ruled notebook,23,1700,251.0,19.0,5773.0
academic planner notebook,26,2316,196.0,17.0,5096.0
academic planner notebook,26,4266,362.0,32.0,9412.0
kids notebook,14,3339,418.0,21.0,5852.0
plain paper,12,4958,543.0,61.0,6516.0
kids notebook,14,1260,158.0,8.0,2212.0
leather cover notebook,23,4278,266.0,26.0,6118.0
large notebook,15,3611,346.0,25.0,5190.0
vintage notebook,17,3096,201.0,12.0,3417.0
academic planner notebook,26,2029,172.0,15.0,4472.0
art sketchbook,15,1378,134.0,10.0,2010.0
vintage notebook,17,4465,290.0,18.0,4930.0
kids notebook,14,2909,364.0,18.0,5096.0
leather cover notebook,23,3271,203.0,20.0,4669.0
notebook with pockets,22,2046,399.0,28.0,8778.0
notebook with pen holder,25,2007,193.0,26.0,4825.0
hardcover notebook,19,3704,388.0,52.0,7372.0
engineering notebook,21,1109,127.0,7.0,2667.0
spiral bound notebook,22,3771,653.0,38.0,14366.0
plain paper,12,4883,535.0,61.0,6420.0
leather cover notebook,23,3600,224.0,22.0,5152.0
kids notebook,14,2422,303.0,15.0,4242.0
leather cover notebook,23,4243,264.0,26.0,6072.0
graph paper notebook,21,2005,207.0,25.0,4347.0
plain paper,12,1697,186.0,21.0,2232.0
kids notebook,14,3773,472.0,24.0,6608.0
spiral bound notebook,22,1305,226.0,13.0,4972.0
vintage notebook,17,4635,301.0,19.0,5117.0
kids notebook,14,2605,326.0,16.0,4564.0
kids notebook,14,2731,342.0,17.0,4788.0
notebook with pen holder,25,1958,188.0,26.0,4700.0
engineering notebook,21,1953,224.0,13.0,4704.0
softcover notebook,19,2174,180.0,19.0,3420.0
academic planner notebook,26,4499,381.0,34.0,9906.0
art sketchbook,15,3668,358.0,25.0,5370.0
engineering notebook,21,4538,520.0,30.0,10920.0
recycled paper notebook,24,3677,483.0,38.0,11592.0
personalized notebook,22,3924,633.0,80.0,13926.0
kids notebook,14,2630,329.0,17.0,4606.0
recycled paper notebook,24,2791,366.0,28.0,8784.0
dotted grid notebook,21,3603,263.0,38.0,5523.0
large notebook,15,2971,285.0,20.0,4275.0
college ruled notebook,23,1066,157.0,12.0,3611.0
dotted grid notebook,21,2179,159.0,23.0,3339.0
recycled paper notebook,24,1834,241.0,19.0,5784.0
college ruled notebook,23,1205,178.0,13.0,4094.0
softcover notebook,19,3833,318.0,34.0,6042.0
art sketchbook,15,1154,112.0,8.0,1680.0
waterproof notebook,20,2714,504.0,41.0,10080.0
large notebook,15,2532,243.0,17.0,3645.0
plain paper,12,2595,284.0,32.0,3408.0
kids notebook,14,3045,381.0,19.0,5334.0
art sketchbook,15,4145,404.0,29.0,6060.0
dotted grid notebook,21,4120,301.0,43.0,6321.0
academic planner notebook,26,3830,325.0,29.0,8450.0
plain paper,12,2490,273.0,31.0,3276.0
vintage notebook,17,3632,236.0,15.0,4012.0
softcover notebook,19,1707,142.0,15.0,2698.0
college ruled notebook,23,2934,433.0,32.0,9959.0
hardcover notebook,19,1178,123.0,17.0,2337.0
travelers notebook,19,2071,284.0,21.0,5396.0
kids notebook,14,2095,262.0,13.0,3668.0
vintage notebook,17,1112,72.0,4.0,1224.0
engineering notebook,21,1756,201.0,12.0,4221.0
notebook with pen holder,25,1896,182.0,25.0,4550.0
recycled paper notebook,24,2926,384.0,30.0,9216.0
leather cover notebook,23,3868,240.0,24.0,5520.0
dotted grid notebook,21,1158,84.0,12.0,1764.0
kids notebook,14,1785,223.0,11.0,3122.0
plain paper,12,2803,307.0,35.0,3684.0
college ruled notebook,23,2839,419.0,31.0,9637.0
waterproof notebook,20,4101,761.0,62.0,15220.0
engineering notebook,21,4168,478.0,28.0,10038.0
recycled paper notebook,24,3298,433.0,34.0,10392.0
dotted grid notebook,21,2542,185.0,27.0,3885.0
recycled paper notebook,24,4163,547.0,43.0,13128.0
graph paper notebook,21,1112,115.0,14.0,2415.0
notebook with pockets,22,1258,245.0,17.0,5390.0
graph paper notebook,21,3154,326.0,39.0,6846.0
spiral bound notebook,22,1574,273.0,16.0,6006.0
engineering notebook,21,4461,511.0,30.0,10731.0
large notebook,15,4038,387.0,28.0,5805.0
college ruled notebook,23,2381,351.0,26.0,8073.0
art sketchbook,15,2806,274.0,19.0,4110.0
spiral bound notebook,22,2222,385.0,22.0,8470.0
notebook with pen holder,25,3474,333.0,46.0,8325.0
notebook with pockets,22,2501,488.0,34.0,10736.0
leather cover notebook,23,1858,115.0,11.0,2645.0
academic planner notebook,26,4920,417.0,37.0,10842.0
kids notebook,14,4574,572.0,29.0,8008.0
academic planner notebook,26,4729,401.0,36.0,10426.0
spiral bound notebook,22,3965,687.0,40.0,15114.0
waterproof notebook,20,4644,862.0,70.0,17240.0
large notebook,15,4191,402.0,29.0,6030.0
leather cover notebook,23,2596,161.0,16.0,3703.0
vintage notebook,17,4380,284.0,18.0,4828.0
kids notebook,14,2561,320.0,16.0,4480.0
personalized notebook,22,3674,593.0,75.0,13046.0
travelers notebook,19,3522,483.0,36.0,9177.0
notebook with pen holder,25,3599,345.0,47.0,8625.0
graph paper notebook,21,3391,351.0,42.0,7371.0
plain paper,12,3675,403.0,46.0,4836.0
college ruled notebook,23,3183,470.0,35.0,10810.0
engineering notebook,21,1276,146.0,9.0,3066.0
engineering notebook,21,3012,345.0,20.0,7245.0
waterproof notebook,20,4882,906.0,73.0,18120.0
kids notebook,14,4604,576.0,29.0,8064.0
recycled paper notebook,24,4970,652.0,51.0,15648.0
softcover notebook,19,3078,255.0,27.0,4845.0
spiral bound notebook,22,1246,216.0,13.0,4752.0
travelers notebook,19,1410,194.0,14.0,3686.0
softcover notebook,19,3074,255.0,27.0,4845.0
engineering notebook,21,1072,123.0,7.0,2583.0
kids notebook,14,2120,265.0,13.0,3710.0
softcover notebook,19,1672,139.0,15.0,2641.0
college ruled notebook,23,2369,349.0,26.0,8027.0
dotted grid notebook,21,3523,257.0,37.0,5397.0
dotted grid notebook,21,2323,169.0,24.0,3549.0
dotted grid notebook,21,4370,319.0,46.0,6699.0
notebook with pockets,22,1286,251.0,18.0,5522.0
personalized notebook,22,2908,469.0,59.0,10318.0
academic planner notebook,26,4520,383.0,34.0,9958.0
notebook with pen holder,25,1211,116.0,16.0,2900.0
